SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 10:41:29;
PERÍODO DE: 01/05/2021 A 31/05/2021;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
1;ATIVO;39106307,40;75551358,98;-78422590,03;36235076,35;
1.01;ATIVO CIRCULANTE;33440594,10;48866923,45;-52158502,30;30149015,25;
1.01.01;CAIXA E EQUIVALENTES DE CAIXA;3109693,14;22476946,38;-22382124,17;3204515,35;
1.01.01.01;CAIXA E EQUIVALENTES DE CAIXA;19239,64;1300732,17;-1305249,49;14722,32;
129;CAIXA FILIAL (BRASILIA);1249,35;0;0;1249,35;
910046;CAIXA FILIAL (CRISTALINA);0;1694,00;-1594,00;100,00;
906982;CAIXA FILIAL (FORMOSA);6001,25;109641,51;-110170,67;5472,09;
86;CAIXA MATRIZ (UNAI);11989,04;1189396,66;-1193484,82;7900,88;
1.01.01.02;BANCOS;639526,98;15888161,99;-15253050,00;1274638,97;
902735;BANCO BRADESCO C/C 37277-3 - BSB;283,41;200,00;-297,66;185,75;
902725;BANCO BRADESCO S/A 7777-1;3607,60;811,45;-2601,41;1817,64;
902728;BANCO BRADESCO S/A C/C 13171-7 (FUNDO);11327,80;831944,48;-839868,14;3404,14;
902731;BANCO BRADESCO S/A C/C 242.216-6;91164,53;0;0;91164,53;
1522;BANCO DO BRASIL S/A 4699-X;0;13475770,96;-13475770,96;0;
902724;BANCO ITAU S/A AG: 1505 C/C 10666-4;274,78;3234,00;-167,76;3341,02;
905393;BANCO SANTANDER CONTA 13 002899-2;219,50;0;0;219,50;
909323;CAIXA ECONOMICA FEDERAL C/C 00000075-6;262190,50;192598,10;-448673,41;6115,19;
902732;SICOOB CREDIUNAI;270458,86;1383603,00;-485670,66;1168391,20;
